date,region,wind_speed
2021-03-11,Süd,32.4
2021-03-12,Nord,35.3
2021-03-12,Süd,28.3
2021-03-13,Nord,36.8
2021-03-13,Süd,30.9
2021-03-14,Nord,33.3
2021-03-14,Süd,28.4
2021-03-15,Nord,32.4
2021-03-15,Süd,26.1
2021-03-16,Nord,22.2
2021-03-16,Süd,21.6
2021-03-17,Nord,11.1
2021-03-17,Süd,16.1
2021-03-18,Nord,10.7
2021-03-18,Süd,11.0
2021-03-19,Nord,20.4
2021-03-19,Süd,14.1
2021-03-20,Nord,21.9
2021-03-20,Süd,12.6
2021-03-21,Nord,28.8
2021-03-21,Süd,21.9
2021-03-22,Nord,21.4
2021-03-22,Süd,15.4
2021-03-23,Nord,16.2
2021-03-23,Süd,12.2
2021-03-24,Nord,17.1
2021-03-24,Süd,9.4
2021-03-25,Nord,12.2
2021-03-25,Süd,12.5
2021-03-26,Nord,18.4
2021-03-26,Süd,10.8
2021-03-27,Nord,27.6
2021-03-27,Süd,27.6
2021-03-28,Nord,29.6
2021-03-28,Süd,12.5
2021-03-29,Nord,23.3
2021-03-29,Süd,12.3
2021-03-30,Nord,14.5
2021-03-30,Süd,11.1
2021-03-31,Nord,11.6
2021-03-31,Süd,11.4
2021-04-01,Nord,22.0
2021-04-01,Süd,15.0
2021-04-02,Nord,28.7
2021-04-02,Süd,14.5
2021-04-03,Nord,19.0
2021-04-03,Süd,13.4
2021-04-04,Nord,24.7
2021-04-04,Süd,11.2
2021-04-05,Nord,37.2
2021-04-05,Süd,34.6
2021-04-06,Nord,25.0
2021-04-06,Süd,27.4
2021-04-07,Nord,29.1
2021-04-07,Süd,30.2
2021-04-08,Nord,23.6
2021-04-08,Süd,22.7
2021-04-09,Nord,29.4
