species,lat,lon,date,locId,locName,area_type
Eurasian Sparrowhawk,54.4789136,9.6897017,2026-02-07 11:00,L58156253,"17 Bramberg, Fleckeby, Schleswig-Holstein, DE (54.479, 9.69)",urban
Long-tailed Tit,54.4789136,9.6897017,2026-02-07 11:00,L58156253,"17 Bramberg, Fleckeby, Schleswig-Holstein, DE (54.479, 9.69)",urban
Fieldfare,54.4789136,9.6897017,2026-02-07 11:00,L58156253,"17 Bramberg, Fleckeby, Schleswig-Holstein, DE (54.479, 9.69)",urban
Velvet Scoter,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Common Scoter,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Long-tailed Duck,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Common Redshank,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Purple Sandpiper,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Great Crested Grebe,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Arctic Loon,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Short-eared Owl,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Goldcrest,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Rock Pipit,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Yellowhammer,54.434272,10.3194543,2026-02-07 10:05,L8262529,Heidkate,rural
Eurasian Treecreeper,54.3318221,10.0611345,2026-02-07 09:51,L13199994,Ottendorfer Au (Domänental),rural
Short-toed Treecreeper,54.3318221,10.0611345,2026-02-07 09:51,L13199994,Ottendorfer Au (Domänental),rural
Song Thrush,54.3318221,10.0611345,2026-02-07 09:51,L13199994,Ottendorfer Au (Domänental),rural
Gadwall,53.9015915,10.7194161,2026-02-07 09:30,L4004772,Schellbruch (NSG),rural
Common Merganser,53.9015915,10.7194161,2026-02-07 09:30,L4004772,Schellbruch (NSG),rural
European Starling,53.9015915,10.7194161,2026-02-07 09:30,L4004772,Schellbruch (NSG),rural
Graylag Goose,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Greater White-fronted Goose,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Common Shelduck,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Mallard,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Northern Pintail,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Eurasian Oystercatcher,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Eurasian Curlew,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Hen Harrier,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
Common Buzzard,54.522387,8.991398,2026-02-08 22:08,L40343945,"L 30, Wobbenbüll DE-Schleswig-Holstein (54.5224,8.9914)",rural
