date,region,wind_speed,species,count,obs_freq
2020-07-16,Süd,,Tufted Duck,1,1
2020-07-17,Nord,,Mallard,34,1
2020-07-17,Süd,,Mallard,27,1
2020-07-18,Nord,,Mallard,16,1
2020-07-18,Nord,,Tufted Duck,10,1
2020-07-18,Süd,,Mallard,1,1
2020-07-18,Süd,,Tufted Duck,20,1
2020-07-19,Süd,,Mallard,1,1
2020-07-19,Süd,,Tufted Duck,20,1
2020-07-20,Süd,,Mallard,12,1
2020-07-20,Süd,,Tufted Duck,1,1
2020-07-21,Süd,,Mallard,6,1
2020-07-22,Nord,,Mallard,7,1
2020-07-22,Nord,,Tufted Duck,4,1
2020-07-22,Süd,,Mallard,2,1
2020-07-22,Süd,,Tufted Duck,2,1
2020-07-23,Nord,,Mallard,32,1
2020-07-23,Nord,,Tufted Duck,16,1
2020-07-23,Süd,,Mallard,3,1
2020-07-23,Süd,,Tufted Duck,1,1
2020-07-24,Süd,,Mallard,1,1
2020-07-24,Süd,,Tufted Duck,1,1
2020-07-25,Süd,,Mallard,1,1
2020-07-25,Süd,,Tufted Duck,2,1
2020-07-26,Nord,,Mallard,10,1
2020-07-26,Süd,,Mallard,1,1
2020-07-26,Süd,,Tufted Duck,1,1
2020-07-27,Süd,,Mallard,14,1
2020-07-27,Süd,,Tufted Duck,10,1
2020-07-28,Süd,,Mallard,40,1
2020-07-28,Süd,,Tufted Duck,1,1
2020-07-29,Süd,,Mallard,9,1
2020-07-29,Süd,,Tufted Duck,9,1
2020-07-30,Süd,,Mallard,15,1
2020-07-30,Süd,,Tufted Duck,1,1
2020-07-31,Süd,,Mallard,10,1
2020-07-31,Süd,,Tufted Duck,1,1
2020-08-01,Nord,,Mallard,15,1
2020-08-01,Süd,,Mallard,3,1
2020-08-01,Süd,,Tufted Duck,1,1
2020-08-02,Nord,,Mallard,6,1
2020-08-02,Süd,,Mallard,30,1
2020-08-02,Süd,,Tufted Duck,1,1
2020-08-03,Süd,,Mallard,1,1
2020-08-03,Süd,,Tufted Duck,10,1
2020-08-04,Süd,,Mallard,1,1
2020-08-04,Süd,,Tufted Duck,4,1
2020-08-05,Süd,,Mallard,1,1
2020-08-05,Süd,,Tufted Duck,1,1
2020-08-06,Nord,,Mallard,5,1
2020-08-06,Süd,,Mallard,1,1
2020-08-06,Süd,,Tufted Duck,1,1
2020-08-07,Süd,,Mallard,15,1
